Year_Month,Contract_region,Card_type,Trip
2016-08,Night Ride 60,Child/Youth Single Bus Trip 3,12
2016-08,Night Ride 60,Concession,550
2016-08,Night Ride 60,Free Travel,6
2016-08,Night Ride 60,Senior/Pensioner,1033
2016-08,Night Ride 61,Adult,1221
2016-08,Night Ride 61,Adult Single Bus Trip 1,1
2016-08,Night Ride 61,Adult Single Bus Trip 2,6
2016-08,Night Ride 61,Adult Single Bus Trip 3,19
2016-08,Night Ride 61,Child/Youth,14
2016-08,Night Ride 61,Child/Youth Single Bus Trip 2,1
2016-08,Night Ride 61,Child/Youth Single Bus Trip 3,3
2016-08,Night Ride 61,Concession,155
2016-08,Night Ride 61,Senior/Pensioner,85
2016-08,Night Ride 70,Adult,5405
2016-08,Night Ride 70,Adult Single Bus Trip 1,18
2016-08,Night Ride 70,Adult Single Bus Trip 2,19
2016-08,Night Ride 70,Adult Single Bus Trip 3,117
2016-08,Night Ride 70,Child/Youth,61
2016-08,Night Ride 70,Child/Youth Single Bus Trip 1,2
2016-08,Night Ride 70,Child/Youth Single Bus Trip 2,7
2016-08,Night Ride 70,Child/Youth Single Bus Trip 3,19
2016-08,Night Ride 70,Concession,545
2016-08,Night Ride 70,Free Travel,5
2016-08,Night Ride 70,Senior/Pensioner,616
2016-08,Night Ride 71,Adult,1494
2016-08,Night Ride 71,Adult Single Bus Trip 1,5
2016-08,Night Ride 71,Adult Single Bus Trip 2,9
2016-08,Night Ride 71,Adult Single Bus Trip 3,78
2016-08,Night Ride 71,Child/Youth,28
2016-08,Night Ride 71,Child/Youth Single Bus Trip 2,1
2016-08,Night Ride 71,Child/Youth Single Bus Trip 3,16
2016-08,Night Ride 71,Concession,274
2016-08,Night Ride 71,Free Travel,2
2016-08,Night Ride 71,Senior/Pensioner,146
2016-08,Night Ride 80,Adult,3784
2016-08,Night Ride 80,Adult Single Bus Trip 1,19
2016-08,Night Ride 80,Adult Single Bus Trip 2,26
2016-08,Night Ride 80,Adult Single Bus Trip 3,60
2016-08,Night Ride 80,Child/Youth,40
2016-08,Night Ride 80,Child/Youth Single Bus Trip 1,3
2016-08,Night Ride 80,Child/Youth Single Bus Trip 2,4
2016-08,Night Ride 80,Child/Youth Single Bus Trip 3,13
2016-08,Night Ride 80,Concession,499
2016-08,Night Ride 80,Free Travel,1
2016-08,Night Ride 80,School Student,1
2016-08,Night Ride 80,Senior/Pensioner,307
2016-08,Night Ride 90,Adult,4984
2016-08,Night Ride 90,Adult Single Bus Trip 1,16
2016-08,Night Ride 90,Adult Single Bus Trip 2,50
2016-08,Night Ride 90,Adult Single Bus Trip 3,76
2016-08,Night Ride 90,Child/Youth,99
2016-08,Night Ride 90,Child/Youth Single Bus Trip 1,3
2016-08,Night Ride 90,Child/Youth Single Bus Trip 2,7
