Year_Month,Location,Card_type,Trip
2016-08,Central Grand Concourse Light Rail,Free Travel,284
2016-08,Central Grand Concourse Light Rail,School Student,66
2016-08,Central Grand Concourse Light Rail,Senior/Pensioner,47023
2016-08,Central Grand Concourse Light Rail,Sgl Trip LR Adult,504
2016-08,Central Grand Concourse Light Rail,Sgl Trip LR Child/Youth,72
2016-08,Convention Light Rail,Adult,28173
2016-08,Convention Light Rail,Child/Youth,1822
2016-08,Convention Light Rail,Concession,1302
2016-08,Convention Light Rail,Free Travel,36
2016-08,Convention Light Rail,School Student,140
2016-08,Convention Light Rail,Senior/Pensioner,2936
2016-08,Convention Light Rail,Sgl Trip LR Adult,165
2016-08,Convention Light Rail,Sgl Trip LR Child/Youth,33
2016-08,Dulwich Grove Light Rail,Adult,6298
2016-08,Dulwich Grove Light Rail,Child/Youth,817
2016-08,Dulwich Grove Light Rail,Concession,439
2016-08,Dulwich Grove Light Rail,Free Travel,2
2016-08,Dulwich Grove Light Rail,School Student,178
2016-08,Dulwich Grove Light Rail,Senior/Pensioner,1032
2016-08,Dulwich Grove Light Rail,Sgl Trip LR Adult,24
2016-08,Dulwich Grove Light Rail,Sgl Trip LR Child/Youth,15
2016-08,Dulwich Hill Light Rail,Adult,14305
2016-08,Dulwich Hill Light Rail,Child/Youth,2289
2016-08,Dulwich Hill Light Rail,Concession,1147
2016-08,Dulwich Hill Light Rail,Free Travel,12
2016-08,Dulwich Hill Light Rail,School Student,394
2016-08,Dulwich Hill Light Rail,Senior/Pensioner,2816
2016-08,Dulwich Hill Light Rail,Sgl Trip LR Adult,23
2016-08,Dulwich Hill Light Rail,Sgl Trip LR Child/Youth,7
2016-08,Exhibition Centre Light Rail,Adult,10092
2016-08,Exhibition Centre Light Rail,Child/Youth,816
2016-08,Exhibition Centre Light Rail,Concession,448
2016-08,Exhibition Centre Light Rail,Free Travel,34
2016-08,Exhibition Centre Light Rail,School Student,13
2016-08,Exhibition Centre Light Rail,Senior/Pensioner,2717
2016-08,Exhibition Centre Light Rail,Sgl Trip LR Adult,1
2016-08,Exhibition Centre Light Rail,Sgl Trip LR Child/Youth,2
2016-08,Fish Market Light Rail,Adult,36762
2016-08,Fish Market Light Rail,Child/Youth,1945
2016-08,Fish Market Light Rail,Concession,1170
2016-08,Fish Market Light Rail,Free Travel,22
2016-08,Fish Market Light Rail,School Student,84
2016-08,Fish Market Light Rail,Senior/Pensioner,4523
2016-08,Fish Market Light Rail,Sgl Trip LR Adult,169
2016-08,Fish Market Light Rail,Sgl Trip LR Child/Youth,34
2016-08,Glebe Light Rail,Adult,12192
2016-08,Glebe Light Rail,Child/Youth,2518
2016-08,Glebe Light Rail,Concession,862
2016-08,Glebe Light Rail,Free Travel,21
2016-08,Glebe Light Rail,School Student,617
2016-08,Glebe Light Rail,Senior/Pensioner,1642
2016-08,Glebe Light Rail,Sgl Trip LR Adult,59
2016-08,Glebe Light Rail,Sgl Trip LR Child/Youth,27
2016-08,Hawthorne Light Rail,Adult,8825
2016-08,Hawthorne Light Rail,Child/Youth,1238
2016-08,Hawthorne Light Rail,Concession,678
2016-08,Hawthorne Light Rail,Free Travel,27
2016-08,Hawthorne Light Rail,School Student,143
2016-08,Hawthorne Light Rail,Senior/Pensioner,1279
2016-08,Hawthorne Light Rail,Sgl Trip LR Adult,47
2016-08,Hawthorne Light Rail,Sgl Trip LR Child/Youth,19
2016-08,John Street Square Light Rail,Adult,17615
2016-08,John Street Square Light Rail,Child/Youth,751
2016-08,John Street Square Light Rail,Concession,965
2016-08,John Street Square Light Rail,Free Travel,11
2016-08,John Street Square Light Rail,School Student,51
2016-08,John Street Square Light Rail,Senior/Pensioner,2500
2016-08,John Street Square Light Rail,Sgl Trip LR Adult,16
2016-08,John Street Square Light Rail,Sgl Trip LR Child/Youth,2
2016-08,Jubilee Park Light Rail,Adult,10189
2016-08,Jubilee Park Light Rail,Child/Youth,3105
2016-08,Jubilee Park Light Rail,Concession,433
2016-08,Jubilee Park Light Rail,Free Travel,36
2016-08,Jubilee Park Light Rail,School Student,701
2016-08,Jubilee Park Light Rail,Senior/Pensioner,1228
2016-08,Jubilee Park Light Rail,Sgl Trip LR Adult,36
2016-08,Jubilee Park Light Rail,Sgl Trip LR Child/Youth,33
2016-08,Leichhardt North Light Rail,Adult,8055
2016-08,Leichhardt North Light Rail,Child/Youth,1536
2016-08,Leichhardt North Light Rail,Concession,569
2016-08,Leichhardt North Light Rail,Free Travel,41
2016-08,Leichhardt North Light Rail,School Student,772
2016-08,Leichhardt North Light Rail,Senior/Pensioner,1091
2016-08,Lewisham West Light Rail,Adult,5250
2016-08,Lewisham West Light Rail,Child/Youth,1222
2016-08,Lewisham West Light Rail,Concession,452
2016-08,Lewisham West Light Rail,Free Travel,2
2016-08,Lewisham West Light Rail,School Student,244
2016-08,Lewisham West Light Rail,Senior/Pensioner,565
2016-08,Lewisham West Light Rail,Sgl Trip LR Adult,1
2016-08,Lilyfield Light Rail,Adult,11243
2016-08,Lilyfield Light Rail,Child/Youth,1408
2016-08,Lilyfield Light Rail,Concession,662
2016-08,Lilyfield Light Rail,Free Travel,16
2016-08,Lilyfield Light Rail,School Student,239
2016-08,Lilyfield Light Rail,Senior/Pensioner,2453
2016-08,Lilyfield Light Rail,Sgl Trip LR Adult,59
2016-08,Lilyfield Light Rail,Sgl Trip LR Child/Youth,24
2016-08,Marion Light Rail,Adult,6657
2016-08,Marion Light Rail,Child/Youth,935
2016-08,Marion Light Rail,Concession,498
2016-08,Marion Light Rail,Free Travel,4
2016-08,Marion Light Rail,School Student,42
2016-08,Marion Light Rail,Senior/Pensioner,1669
2016-08,Marion Light Rail,Sgl Trip LR Adult,20
2016-08,Marion Light Rail,Sgl Trip LR Child/Youth,9
2016-08,"Paddy's Markets Light Rail",Adult,58367
2016-08,"Paddy's Markets Light Rail",Child/Youth,3447
2016-08,"Paddy's Markets Light Rail",Concession,3794
2016-08,"Paddy's Markets Light Rail",Free Travel,60
2016-08,"Paddy's Markets Light Rail",School Student,14
2016-08,"Paddy's Markets Light Rail",Senior/Pensioner,13324
2016-08,"Paddy's Markets Light Rail",Sgl Trip LR Adult,228
2016-08,"Paddy's Markets Light Rail",Sgl Trip LR Child/Youth,50
2016-08,Pyrmont Bay Light Rail,Adult,59709
2016-08,Pyrmont Bay Light Rail,Child/Youth,1719
2016-08,Pyrmont Bay Light Rail,Concession,1985
2016-08,Pyrmont Bay Light Rail,Free Travel,87
2016-08,Pyrmont Bay Light Rail,School Student,15
2016-08,Pyrmont Bay Light Rail,Senior/Pensioner,4073
2016-08,Pyrmont Bay Light Rail,Sgl Trip LR Adult,148
2016-08,Pyrmont Bay Light Rail,Sgl Trip LR Child/Youth,45
2016-08,Rozelle Bay Light Rail,Adult,8416
2016-08,Rozelle Bay Light Rail,Child/Youth,792
2016-08,Rozelle Bay Light Rail,Concession,481
2016-08,Rozelle Bay Light Rail,Free Travel,23
2016-08,Rozelle Bay Light Rail,School Student,29
2016-08,Rozelle Bay Light Rail,Senior/Pensioner,1405
2016-08,Rozelle Bay Light Rail,Sgl Trip LR Adult,63
2016-08,Rozelle Bay Light Rail,Sgl Trip LR Child/Youth,19
2016-08,Taverners Hill Light Rail,Adult,3806
2016-08,Taverners Hill Light Rail,Child/Youth,618
2016-08,Taverners Hill Light Rail,Concession,290
2016-08,Taverners Hill Light Rail,Free Travel,5
2016-08,Taverners Hill Light Rail,School Student,155
2016-08,Taverners Hill Light Rail,Senior/Pensioner,732
2016-08,The Star Light Rail,Adult,79342
2016-08,The Star Light Rail,Child/Youth,1306
2016-08,The Star Light Rail,Concession,3333
2016-08,The Star Light Rail,Free Travel,109
2016-08,The Star Light Rail,School Student,32
2016-08,The Star Light Rail,Senior/Pensioner,25755
2016-08,The Star Light Rail,Sgl Trip LR Adult,348
2016-08,The Star Light Rail,Sgl Trip LR Child/Youth,56
2016-08,Waratah Mills Light Rail,Adult,5490
2016-08,Waratah Mills Light Rail,Child/Youth,1129
2016-08,Waratah Mills Light Rail,Concession,509
2016-08,Waratah Mills Light Rail,Free Travel,6
2016-08,Waratah Mills Light Rail,School Student,441
2016-08,Waratah Mills Light Rail,Senior/Pensioner,989
2016-08,Wentworth Park Light Rail,Adult,11951
2016-08,Wentworth Park Light Rail,Child/Youth,693
2016-08,Wentworth Park Light Rail,Concession,693
2016-08,Wentworth Park Light Rail,Free Travel,5
2016-08,Wentworth Park Light Rail,School Student,208
2016-08,Wentworth Park Light Rail,Senior/Pensioner,1086
2016-09,Arlington Light Rail,Adult,8535
2016-09,Arlington Light Rail,Child/Youth,1187
2016-09,Arlington Light Rail,Concession,600
2016-09,Arlington Light Rail,Free Travel,16
2016-09,Arlington Light Rail,School Student,246
2016-09,Arlington Light Rail,Senior/Pensioner,851
2016-09,Arlington Light Rail,Sgl Trip LR Adult,47
2016-09,Arlington Light Rail,Sgl Trip LR Child/Youth,26
2016-09,Capitol Square Light Rail,Adult,43954
2016-09,Capitol Square Light Rail,Child/Youth,2120
2016-09,Capitol Square Light Rail,Concession,1540
2016-09,Capitol Square Light Rail,Free Travel,44
2016-09,Capitol Square Light Rail,School Student,18
2016-09,Capitol Square Light Rail,Senior/Pensioner,13093
2016-09,Capitol Square Light Rail,Sgl Trip LR Adult,166
2016-09,Capitol Square Light Rail,Sgl Trip LR Child/Youth,40
2016-09,Central Grand Concourse Light Rail,Adult,142979
2016-09,Central Grand Concourse Light Rail,Child/Youth,8033
2016-09,Central Grand Concourse Light Rail,Concession,6978
2016-09,Central Grand Concourse Light Rail,Free Travel,265
2016-09,Central Grand Concourse Light Rail,School Student,59
2016-09,Central Grand Concourse Light Rail,Senior/Pensioner,47195
2016-09,Central Grand Concourse Light Rail,Sgl Trip LR Adult,632
2016-09,Central Grand Concourse Light Rail,Sgl Trip LR Child/Youth,78
2016-09,Convention Light Rail,Adult,27971
2016-09,Convention Light Rail,Child/Youth,2300
2016-09,Convention Light Rail,Concession,1230
2016-09,Convention Light Rail,Free Travel,46
2016-09,Convention Light Rail,School Student,101
2016-09,Convention Light Rail,Senior/Pensioner,3090
2016-09,Convention Light Rail,Sgl Trip LR Adult,249
2016-09,Convention Light Rail,Sgl Trip LR Child/Youth,59
2016-09,Dulwich Grove Light Rail,Adult,6424
2016-09,Dulwich Grove Light Rail,Child/Youth,691
2016-09,Dulwich Grove Light Rail,Concession,388
2016-09,Dulwich Grove Light Rail,Free Travel,2
2016-09,Dulwich Grove Light Rail,School Student,156
2016-09,Dulwich Grove Light Rail,Senior/Pensioner,1027
2016-09,Dulwich Grove Light Rail,Sgl Trip LR Adult,34
2016-09,Dulwich Grove Light Rail,Sgl Trip LR Child/Youth,13
2016-09,Dulwich Hill Light Rail,Adult,14426
2016-09,Dulwich Hill Light Rail,Child/Youth,2110
2016-09,Dulwich Hill Light Rail,Concession,1117
2016-09,Dulwich Hill Light Rail,Free Travel,8
2016-09,Dulwich Hill Light Rail,School Student,341
2016-09,Dulwich Hill Light Rail,Senior/Pensioner,2981
2016-09,Dulwich Hill Light Rail,Sgl Trip LR Adult,51
2016-09,Dulwich Hill Light Rail,Sgl Trip LR Child/Youth,36
2016-09,Exhibition Centre Light Rail,Adult,8908
2016-09,Exhibition Centre Light Rail,Child/Youth,884
2016-09,Exhibition Centre Light Rail,Concession,385
2016-09,Exhibition Centre Light Rail,Free Travel,25
2016-09,Exhibition Centre Light Rail,School Student,10
2016-09,Exhibition Centre Light Rail,Senior/Pensioner,2419
2016-09,Fish Market Light Rail,Adult,35891
2016-09,Fish Market Light Rail,Child/Youth,1599
