Year_Month,Route,Card_type,Trip
2016-11,F2 Taronga Zoo,Employee,349
2016-11,F2 Taronga Zoo,Free Travel,137
2016-11,F2 Taronga Zoo,School Student,32
2016-11,F2 Taronga Zoo,Senior/Pensioner,10293
2016-11,F2 Taronga Zoo,Sgl Trip Ferry Adult,3910
2016-11,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,594
2016-11,F3 Parramatta River,Adult,199141
2016-11,F3 Parramatta River,Child/Youth,16443
2016-11,F3 Parramatta River,Concession,4344
2016-11,F3 Parramatta River,Employee,1059
2016-11,F3 Parramatta River,Free Travel,423
2016-11,F3 Parramatta River,School Student,600
2016-11,F3 Parramatta River,Senior/Pensioner,42117
2016-11,F3 Parramatta River,Sgl Trip Ferry Adult,8344
2016-11,F3 Parramatta River,Sgl Trip Ferry Child/Youth,1157
2016-11,F4 Darling Harbour,Adult,114070
2016-11,F4 Darling Harbour,Child/Youth,13663
2016-11,F4 Darling Harbour,Concession,2534
2016-11,F4 Darling Harbour,Employee,682
2016-11,F4 Darling Harbour,Free Travel,290
2016-11,F4 Darling Harbour,School Student,215
2016-11,F4 Darling Harbour,Senior/Pensioner,23674
2016-11,F4 Darling Harbour,Sgl Trip Ferry Adult,8431
2016-11,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,1123
2016-11,F5 Neutral Bay,Adult,38033
2016-11,F5 Neutral Bay,Child/Youth,1244
2016-11,F5 Neutral Bay,Concession,1033
2016-11,F5 Neutral Bay,Employee,257
2016-11,F5 Neutral Bay,Free Travel,76
2016-11,F5 Neutral Bay,School Student,38
2016-11,F5 Neutral Bay,Senior/Pensioner,10776
2016-11,F5 Neutral Bay,Sgl Trip Ferry Adult,1271
2016-11,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,143
2016-11,F6 Mosman Bay,Adult,58058
2016-11,F6 Mosman Bay,Child/Youth,2403
2016-11,F6 Mosman Bay,Concession,1706
2016-11,F6 Mosman Bay,Employee,463
2016-11,F6 Mosman Bay,Free Travel,117
2016-11,F6 Mosman Bay,School Student,81
2016-11,F6 Mosman Bay,Senior/Pensioner,14775
2016-11,F6 Mosman Bay,Sgl Trip Ferry Adult,1305
2016-11,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,177
2016-11,F7 Eastern Suburbs,Adult,110594
2016-11,F7 Eastern Suburbs,Child/Youth,5232
2016-11,F7 Eastern Suburbs,Concession,2478
2016-11,F7 Eastern Suburbs,Employee,546
2016-11,F7 Eastern Suburbs,Free Travel,185
2016-11,F7 Eastern Suburbs,School Student,111
2016-11,F7 Eastern Suburbs,Senior/Pensioner,18937
2016-11,F7 Eastern Suburbs,Sgl Trip Ferry Adult,4123
2016-11,F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,410
2016-12,118 Newcastle,Adult,24506
2016-12,118 Newcastle,Child/Youth,4737
2016-12,118 Newcastle,Concession,898
2016-12,118 Newcastle,Employee,573
2016-12,118 Newcastle,Free Travel,355
2016-12,118 Newcastle,School Student,418
2016-12,118 Newcastle,Senior/Pensioner,9430
2016-12,F1 Manly,Adult,385528
2016-12,F1 Manly,Child/Youth,55904
2016-12,F1 Manly,Concession,10856
2016-12,F1 Manly,Employee,2161
2016-12,F1 Manly,Free Travel,714
2016-12,F1 Manly,School Student,100
2016-12,F1 Manly,Senior/Pensioner,66706
2016-12,F1 Manly,Sgl Trip Ferry Adult,35160
2016-12,F1 Manly,Sgl Trip Ferry Child/Youth,7347
2016-12,F2 Taronga Zoo,Adult,92999
2016-12,F2 Taronga Zoo,Child/Youth,18672
